Uuid,Same as mappings,Void/Retire,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
,,,Cambodia_Past Surgical History,Cambodia_Past Surgical History,Past Surgical History,Past Surgical History,,,Question,Text,,,,,,,,,,,
,,,Cambodia_Family History,Cambodia_Family History,Family History,Family History,,,Question,Text,,,,,,,,,,,
,,,Cambodia_Social History,Cambodia_Social History,Social History,Social History,,,Question,Text,,,,,,,,,,,
,,,Cambodia_List Medications,Cambodia_List Medications,List Medications,List Medications,,,Question,Text,,,,,,,,,,,
,,,Cambodia_Past Medical History,Cambodia_Past Medical History,Past Medical History,Past Medical History,,,Question,Coded,,Cambodia_Headache; Cambodia_Seizure; Cambodia_Heart Disease; Cambodia_Hypertension; Cambodia_COPD; Cambodia_Asthma; Cambodia_Diabetes; Cambodia_UTI; Cambodia_Kidney Stones; Cambodia_Ulcer; Cambodia_GERD; Cambodia_Depression; Cambodia_Cancer; Cambodia_Other Medical History,,,,,,,,,
,,,Cambodia_PCV Set,Cambodia_PCV Set,PCV,PCV,,,ConvSet,N/A,,,Cambodia_PCV1 Set; Cambodia_PCV2 Set; Cambodia_PCV3 Set;,,,,,,,,
,,,Cambodia_DTP-Hep-Hip Set,Cambodia_DTP-Hep-Hip Set,DTP-Hep-Hip,DTP-Hep-Hip,,,ConvSet,N/A,,,Cambodia_DTP-Hep-Hip1 Set; Cambodia_DTP-Hep-Hip2 Set; Cambodia_DTP-Hep-Hip3 Set;,,,,,,,,
,,,Cambodia_Polio Set,Cambodia_Polio Set,Polio,Polio,,,ConvSet,N/A,,,Cambodia_Polio1 Set; Cambodia_Polio2 Set; Cambodia_Polio3 Set; Cambodia_IPV Set;,,,,,,,,
,,,Cambodia_HepB at birth Set,Cambodia_HepB at birth Set,HepB at birth,HepB at birth,,,ConvSet,N/A,,,"Cambodia_HepB at birth; Cambodia_HepB at birth, time administrered after birth; ",,,,,,,,
,,,Cambodia_Child Immunizations Set OLD,Cambodia_Child Immunizations Set OLD,Child Immunizations,Child Immunizations,MORE COMPACT BUT DOES NOT DISPLAY IN IMMU WIDGET,MORE COMPACT BUT DOES NOT DISPLAY IN IMMU WIDGET,ConvSet,N/A,,,"Cambodia_Polio1; Cambodia_Polio1, Date Given; Cambodia_Polio2; Cambodia_Polio2, Date Given; Cambodia_Polio3; Cambodia_Polio3, Date Given; Cambodia_DTP-Hep-Hip1; Cambodia_DTP-Hep-Hip1, Date Given; Cambodia_DTP-Hep-Hip2; Cambodia_DTP-Hep-Hip2, Date Given; Cambodia_DTP-Hep-Hip3; Cambodia_DTP-Hep-Hip3, Date Given; Cambodia_PCV1; Cambodia_PCV1, Date Given; Cambodia_PCV2; Cambodia_PCV2, Date Given; Cambodia_PCV3; Cambodia_PCV3, Date Given; Cambodia_MR***; Cambodia_MR***, Date Given; Cambodia_JE; Cambodia_JE, Date Given",,,,,,,,
,,,Cambodia_Newborn Immunizations Set OLD,Cambodia_Newborn Immunizations Set OLD,Newborn Immunizations,Newborn Immunizations,MORE COMPACT BUT DOES NOT DISPLAY IN IMMU WIDGET,MORE COMPACT BUT DOES NOT DISPLAY IN IMMU WIDGET,ConvSet,N/A,,,"Cambodia_BCG; Cambodia_BCG, Date Given; Cambodia_HepB at birth; Cambodia_HepB at birth, time administrered after birth; Cambodia_Polio1; Cambodia_Polio1, Date Given; Cambodia_Polio2; Cambodia_Polio2, Date Given; Cambodia_Polio3; Cambodia_Polio3, Date Given; Cambodia_DTP-Hep-Hip1; Cambodia_DTP-Hep-Hip1, Date Given; Cambodia_DTP-Hep-Hip2; Cambodia_DTP-Hep-Hip2, Date Given; Cambodia_DTP-Hep-Hip3; Cambodia_DTP-Hep-Hip3, Date Given; Cambodia_PCV1; Cambodia_PCV1, Date Given; Cambodia_PCV2; Cambodia_PCV2, Date Given; Cambodia_PCV3; Cambodia_PCV3, Date Given; Cambodia_MR1; Cambodia_MR1, Date Given; Cambodia_JE; Cambodia_JE, Date Given",,,,,,,,
,,,Cambodia_Child Immunizations Set,Cambodia_Child Immunizations Set,Child Immunizations,Child Immunizations,,,ConvSet,N/A,,,Cambodia_Polio Set; Cambodia_DTP-Hep-Hip Set; Cambodia_PCV Set; Cambodia_MR*** Set; Cambodia_JE Set;,,,,,,,,
,,,Cambodia_Newborn Immunizations Set,Cambodia_Newborn Immunizations Set,Newborn Immunizations,Newborn Immunizations,,,ConvSet,N/A,,,Cambodia_BCG Set; Cambodia_HepB at birth Set; Cambodia_Polio Set; Cambodia_DTP-Hep-Hip Set; Cambodia_PCV Set; Cambodia_MR1 Set; Cambodia_JE Set;,,,,,,,,
,,,Cambodia_History Form,Cambodia_History Form,History,History,,,ConvSet,N/A,,,Cambodia_Past Medical History; Cambodia_Past Cancer Details; Cambodia_Past Medical History Details; Cambodia_Past Surgical History; Cambodia_Allergies; Cambodia_List medications; Cambodia_Social History; Cambodia_Newborn Immunizations Set; Cambodia_Child Immunizations Set; Cambodia_Pregnant Women Immunizations Set;,,,,,,,,
